epoch,loss,lr
1,4.83124803817749,0.0001
2,4.719122393569946,9.504844339512095e-05
3,4.670428380584717,8.117449009293668e-05
4,4.6322363270568845,6.112604669781572e-05
5,4.598770403060913,3.887395330218429e-05
6,4.569081493415832,1.8825509907063327e-05
7,4.548878372802735,4.951556604879048e-06
